NAME,CATEGORY,RATING,PRICE,REVIEW,STREET,CITY,PHONE
Neptune Oyster,Seafood,4.5,$$$,5157,63 Salem St,Boston,6177423474
Mike's Pastry,Bakeries,4.0,$,7344,300 Hanover St,Boston,6177423050
Carmelina's,Italian,4.5,$$,2275,307 Hanover St,Boston,6177420020
Giacomo's Ristorante - Boston,Italian,4.0,$$,3537,355 Hanover St,Boston,6175239026
Mike & Patty's - Boston,Sandwiches,4.5,$,1776,12 Church St,Boston,6174233447
Atlantic Fish Co,Seafood,4.0,$$$,2600,761 Boylston St,Boston,6172674000
Toro,Tapas Bars,4.0,$$$,2189,1704 Washington St,Boston,6175364300
Modern Pastry Shop,Bakeries,4.0,$,2064,257 Hanover St,Boston,6175233783
Luke's Lobster Back Bay,Seafood,4.0,$$,1784,75 Exeter Street,Boston,8573504626
Sam LaGrassa's,Delis,4.5,$$,1032,44 Province St,Boston,6173576861
The Friendly Toast,Bars,4.0,$$,1818,35 Stanhope St,Back Bay,6174567849
Saltie Girl,Seafood,4.5,$$$,1155,281 Dartmouth St,Boston,6172670691
Regina Pizzeria,Pizza,4.0,$$,2087,11 Thacher St,Boston,6172270765
Row 34,American (New),4.0,$$$,1485,383 Congress St,Boston,6175535900
Flour Bakery + Café,Bakeries,4.5,$$,1177,12 Farnsworth St,Boston,6173384333
Lolita Cocina & Tequila Bar Back Bay,Mexican,4.0,$$,2176,271 Dartmouth St,Boston,6173695609
The Salty Pig,American (New),4.0,$$,1685,130 Dartmouth St,Boston,6175366200
Barcelona Wine Bar South End,Spanish,4.5,$$,1124,525 Tremont St,Boston,6172662600
Pauli's,Sandwiches,4.5,$$,1158,65 Salem St,Boston,8572847064
James Hook,Seafood,4.0,$$,1282,440 Atlantic Ave,Boston,6174235501
Bova's Bakery,Bakeries,4.5,$,1208,134 Salem St,Boston,6175235601
The Daily Catch,Italian,4.0,$$,1677,323 Hanover St,Boston,6175238567
Yankee Lobster,Seafood Markets,4.0,$$,1741,300 Northern Ave,Boston,6173459799
Picco Pizza & Ice Cream,Pizza,4.0,$$,1193,513 Tremont St,Boston,6179270066
Bostonia Public House,American (New),4.0,$$,1446,131 State St,Boston,6179489800
Museum Of Fine Arts,Art Museums,4.5,,797,465 Huntington Ave,Boston,6172679300
The Capital Grille,Steakhouses,4.5,$$$$,954,900 Boylston St,Boston,6172628900
O Ya,Japanese,4.5,$$$$,740,9 East St Pl,Boston,6176549900
Flour Bakery + Café,Coffee & Tea,4.0,$$,1038,131 Clarendon St,Boston,6174377700
Thinking Cup,Coffee & Tea,4.0,$$,1173,165 Tremont St,Boston,6174825555
Toscanini's Ice Cream,Ice Cream & Frozen Yogurt,4.5,$$,1728,159 First St,Cambridge,6174915877
Boston Public Garden,Parks,4.5,,363,4 Charles St,Boston,
Myers & Chang,Asian Fusion,4.0,$$,1682,1145 Washington St,Boston,6175425200
Mistral,French,4.0,$$$$,969,223 Columbus Ave,Boston,6178679300
Saus,Beer Bar,4.0,$$,1254,33 Union St,Boston,6172488835
Flour Bakery & Cafe,Bakeries,4.0,$$,877,1595 Washington St,Boston,6172674300
Yvonne's,American (New),4.0,$$$,1013,2 Winter Pl,Boston,6172670047
Pho Basil,Vietnamese,4.0,$$,1249,177 Massachusetts Ave,Boston,6172625377
Parish Cafe and Bar,Sandwiches,4.0,$$,1416,361 Boylston St,Boston,6172474777
The Beehive,American (Traditional),3.5,$$,2189,541 Tremont St,Boston,6174230069
El Pelón Taquería,Mexican,4.0,$,1118,92 Peterborough St,Boston,6172629090
Avana Sushi,Japanese,4.0,$,982,42 Beach St,Boston,6178187782
Abe & Louie's,Steakhouses,4.0,$$$,1369,793 Boylston St,Boston,6175366300
Drink,Lounges,4.0,$$$,1574,348 Congress St,Boston,6176951806
Thinking Cup,Coffee & Tea,4.0,$$,816,85 Newbury St,Boston,6172473333
Marliave,French,4.0,$$$,1293,10 Bosworth St,Boston,6174220004
